S.l. 1 37.3989094 -122.0711831
s.l. 71 37.3989094 -122.0711831
"s. l." 1 37.3989094 -122.0711831
"Alma Qc" 2 48.5504607 -71.6527704
Québec 1 52.9399159 -73.5491361
Toronto 6 43.653226 -79.3831843
"Alma, QC" 5 48.5504607 -71.6527704
"Alma, Qc" 7 48.5504607 -71.6527704
"Hull, Qc" 12 45.428731 -75.71336579999999
"Kent, CT" 1 41.7247554 -73.47696429999999
"Laval, Qc" 9 45.6066487 -73.712409
"Matane Qc" 1 48.8445157 -67.5305758
"Ottawa On" 2 45.4215296 -75.69719309999999
"Boston, MA" 3 42.3600825 -71.0588801
"Burnaby BC" 1 49.2488091 -122.9805104
"Chicago IL" 2 41.8781136 -87.6297982
"Durham, NC" 1 35.9940329 -78.898619
"Halifax NS" 1 44.64876350000001 -63.5752387
Luxembourg 1 49.815273 6.129582999999999
"Matane, Qc" 5 48.8445157 -67.5305758
"Normal, IL" 1 40.5142026 -88.9906312
"Ottawa Ont" 2 45.4215296 -75.69719309999999
"Ottawa, ON" 5 45.4215296 -75.69719309999999
"Ottawa, On" 2 45.4215296 -75.69719309999999
"Québec Qc" 13 46.8138783 -71.2079809
"Surrey, BC" 2 49.1044302 -122.801094
"Sydney, NS" 1 46.1367899 -60.19422399999999
"Tucson, AZ" 1 32.2217429 -110.926479
"York, Ont." 1 43.6956787 -79.4503544
"Amherst, MA" 2 42.3732216 -72.5198537
"Banff, Alta" 12 45.3684574 -75.65908990000001
"Barrie, Ont" 1 44.38935559999999 -79.6903316
"Burnaby, BC" 2 49.2488091 -122.9805104
"Chicago, IL" 3 41.8781136 -87.6297982
"Halifax, NS" 49 44.64876350000001 -63.5752387
"Houston, TX" 1 29.7604267 -95.3698028
"Kamloops BC" 1 50.674522 -120.3272674
"Kelowna, BC" 13 49.8879519 -119.4960106
"Lachine, Qc" 1 45.441347 -73.68858469999999
"Moncton, NB" 2 46.0878165 -64.7782313
"Montreal Qc" 1 45.5016889 -73.567256
"New York NY" 1 40.7127837 -74.0059413
"Norfolk, VA" 1 36.8507689 -76.28587259999999
"Ottawa, Ont" 4 45.4215296 -75.69719309999999
"Québec, QC" 7 46.8138783 -71.2079809
"Québec, Qc" 130 46.8138783 -71.2079809
"Regina Sask" 1 50.4452112 -104.6188944
"Rimouski Qc" 5 48.4389803 -68.5349704
"Rome, Italy" 1 41.9027835 12.4963655
"Seattle, WA" 3 47.6062095 -122.3320708
"Seoul Korea" 1 37.566535 126.9779692
"Sillery, Qc" 1 46.7708135 -71.26541999999999
"Sudbury Ont" 1 46.522099 -80.9530353
Switzerland 1 46.818188 8.227511999999999
"Toronto, ON" 6 43.653226 -79.3831843
"Toronto, On" 1 43.653226 -79.3831843
"[Laval, Qc]" 1 45.6066487 -73.712409
[Montréal] 1 45.5016889 -73.567256
"Albi, France" 1 43.9250853 2.1486413
"Bamako, Mali" 1 12.6392316 -8.0028892
"Beauport, Qc" 1 46.8615561 -71.1886766
"Berkeley, CA" 1 37.8715926 -122.272747
"Caen, France" 3 49.182863 -0.370679
"Columbus, OH" 2 39.9611755 -82.99879419999999
"Gatineau, Qc" 2 45.4765446 -75.7012723
"Guelph, Ont." 1 43.5448048 -80.24816659999999
"Havana, Cuba" 1 23.1135925 -82.3665956
"Joliette, Qc" 10 46.014012 -73.41779609999999
"Kamloops, BC" 12 50.674522 -120.3272674
"London, Ont." 19 42.9849233 -81.2452768
"Lyon, France" 2 45.764043 4.835659
"Milan Italie" 1 45.4654219 9.1859243
"Milan, Italy" 4 45.4654219 9.1859243
"Montreal, Qc" 4 45.5016889 -73.567256
Montréal,Qc 1 45.5016889 -73.567256
"New York, NY" 57 40.7127837 -74.0059413
"Nice, France" 1 43.7101728 7.261953200000001
"Oshawa, Ont." 2 43.8970929 -78.86579119999999
"Ottawa, Ont." 93 45.4215296 -75.69719309999999
"Paris France" 5 48.856614 2.3522219
"Pasadena, CA" 2 34.1477849 -118.1445155
"Portland, OR" 1 45.5230622 -122.6764816
"Portland, Or" 1 45.5230622 -122.6764816
"Pusan, Korea" 1 35.1795543 129.0756416
"Regina Sask." 1 50.4452112 -104.6188944
"Regina, Sask" 1 50.4452112 -104.6188944
"Richmond, BC" 3 49.1665898 -123.133569
"Richmond, VA" 1 37.5407246 -77.4360481
"Rimouski, Qc" 17 48.4389803 -68.5349704
"Sackville NB" 1 45.897903 -64.3682803
"Santa Fe, NM" 1 35.6869752 -105.937799
"Sarnia, Ont." 1 42.974536 -82.4065901
"Syracuse, NY" 1 43.0481221 -76.14742439999999
"Tokyo, Japan" 3 35.6894875 139.6917064
"Toronto, Ont" 3 43.653226 -79.3831843
"Val-d'Or, Qc" 3 48.0987106 -77.7967676
